# SpaceSegment.Instrument.NISP.NISPDetectorSlots
SCE_POS,SCA_ID,CFC_ID,SCE_ID,SCS_ID,SCS_NUM,CD1_1,CD1_2,CD2_1,CD2_2,CRPIX1,CRPIX2,CRVAL1,CRVAL2
32,18284,008-1(108),108,284-081-108,6,-0.017921000059862,-2.8962983745856e-05,2.8962983745856e-05,-0.017921000059862,4.0,4.0,-1.376355216225,39.27576943132
42,18249,001-4(103),16,249-014-016,2,-0.017920999944102,-3.2031289162508e-05,3.2031289162508e-05,-0.017920999944102,4.0,4.0,-1.3926265133527,82.059563010383
14,18267,008-4(131),54,267-084-054,16,0.017921000388211,4.6995470672124e-06,-4.6995470672124e-06,0.017921000388211,4.0,4.0,41.199987005489,-81.862402159297
44,18628,005-2(115),74,628-052-074,4,-0.017920999753981,-8.5333347302716e-06,8.5333347302716e-06,-0.017920999753981,4.0,4.0,77.782847847638,82.043549480623
43,18221,009-4(130),69,221-094-069,3,-0.017921000137545,-3.1922877669916e-05,3.1922877669916e-05,-0.017921000137545,4.0,4.0,38.243425037953,82.062727601769
12,18272,004-2(114),21,272-042-021,14,0.017921000772168,2.7501344716998e-05,-2.7501344716998e-05,0.017921000772168,4.0,4.0,-37.953444464574,-81.818370381468
24,18452,007-4(138),104,452-074-104,12,0.017920998719701,2.2065549161805e-05,-2.2065549161805e-05,0.017920998719701,4.0,4.0,41.223359933168,-39.072879847621
22,18285,006-4(127),57,285-064-057,10,0.017921000008565,2.5994096067986e-05,-2.5994096067986e-05,0.017921000008565,4.0,4.0,-37.995535107308,-39.05194755178
34,18269,007-2(119),58,269-072-058,8,-0.01792099930788,-3.2385289561356e-05,3.2385289561356e-05,-0.01792099930788,4.0,4.0,77.782735833323,39.288197157464
23,18548,007-1(132),75,548-071-075,11,0.017920999538853,1.4578354903081e-05,-1.4578354903081e-05,0.017920999538853,4.0,4.0,1.6195472629502,-39.12052135533
21,18268,004-5(109),60,268-045-060,9,0.017920999927463,3.1041904898553e-05,-3.1041904898553e-05,0.017920999927463,4.0,4.0,-77.56522676703,-39.016832570925
13,18632,008-5(122),63,632-085-063,15,0.017921000650835,3.9707339136661e-05,-3.9707339136661e-05,0.017921000650835,4.0,4.0,1.6186113528081,-81.799075325892
11,18453,002-4(118),107,453-024-107,13,0.017920999290518,3.140747153607e-05,-3.140747153607e-05,0.017920999290518,4.0,4.0,-77.56672671573,-81.79741669908
41,18458,010-3(110),17,458-103-017,1,-0.01792100050958,-9.0407768040042e-06,9.0407768040042e-06,-0.01792100050958,4.0,4.0,-40.986432452982,82.052089146089
31,18280,011-4(111),53,280-114-053,5,-0.017920999824602,-1.9164723072975e-05,1.9164723072975e-05,-0.017920999824602,4.0,4.0,-40.990905454668,39.276295003617
33,18278,004-3(137),71,278-043-071,7,-0.017921000063929,-1.0895350010882e-05,1.0895350010882e-05,-0.017921000063929,4.0,4.0,38.161333810093,39.264688941851
